Bebida,LinkImagen,Categoria,Tipo de Bebida,Tipo de Vaso,Medida1,Ingrediente1,Medida2,Ingrediente2,Medida3,Ingrediente3,Medida4,Ingrediente4,Medida5,Ingrediente5,Medida6,Ingrediente6
Bijou,https://www.thecocktaildb.com/images/media/drink/rysb3r1513706985.jpg,Cocktail,Alcoholic,Cocktail glass,1 dash,Orange Bitters,1 oz,Green Chartreuse,1 oz,Gin,1 oz,Sweet Vermouth,,,,
Boxcar,https://www.thecocktaildb.com/images/media/drink/pwgtpa1504366376.jpg,Ordinary Drink,Alcoholic,Whiskey sour glass,1 1/2 oz ,Gin,1 oz ,Triple sec,1 tsp ,Lemon juice,1/2 tsp ,Grenadine,1 ,Egg white,,
Big Red,https://www.thecocktaildb.com/images/media/drink/yqwuwu1441248116.jpg,Shot,Alcoholic,Shot glass,1/2 oz ,Irish cream,1/2 oz ,Goldschlager,,,,,,,,
Bellini,https://www.thecocktaildb.com/images/media/drink/eaag491504367543.jpg,Ordinary Drink,Alcoholic,Champagne Flute,6 oz ,Champagne,1 oz ,Peach schnapps,,,,,,,,
Bramble,https://www.thecocktaildb.com/images/media/drink/lvzl3r1504372526.jpg,Ordinary Drink,Alcoholic,Old-Fashioned glass,4 cl,Gin,1.5 cl,lemon juice,1 cl,Sugar syrup,1.5 cl,Creme de Mure,,,,
Balmoral,https://www.thecocktaildb.com/images/media/drink/vysuyq1441206297.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 oz ,Scotch,1/2 oz ,Sweet Vermouth,1/2 oz ,Dry Vermouth,2 dashes ,Bitters,,,,
Bluebird,https://www.thecocktaildb.com/images/media/drink/5jhyd01582579843.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 1/2 oz ,Gin,1/2 oz ,Triple sec,1/2 oz ,Blue Curacao,2 dashes ,Bitters,1 ,Maraschino cherry,1 twist of ,Lemon peel
Brooklyn,https://www.thecocktaildb.com/images/media/drink/ojsezf1582477277.jpg,Cocktail,Alcoholic,Cocktail glass,2 oz,Rye Whiskey,1 oz,Dry Vermouth,1/4 oz,Maraschino Liqueur,3 dashes,Angostura Bitters,1,Maraschino Cherry,,
Boomerang,https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg,Ordinary Drink,Alcoholic,Cocktail glass,2 oz ,Gin,1/2 oz ,Dry Vermouth,2 dashes ,Bitters,1/2 tsp ,Maraschino liqueur,1 ,Maraschino cherry,,
Bora Bora,https://www.thecocktaildb.com/images/media/drink/xwuqvw1473201811.jpg,Cocktail,Non alcoholic,Highball glass,10 cl ,Pineapple juice,6 cl ,Passion fruit juice,1 cl ,Lemon juice,1 cl ,Grenadine,,,,
Barracuda,https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg,Ordinary Drink,Alcoholic,Margarita glass,4.5 cl,Rum,1.5 cl,Galliano,6 cl,Pineapple Juice, 1 dash,Lime Juice,top up ,Prosecco,,
Buccaneer,https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg,Beer,Alcoholic,Beer pilsner,1 ,Corona,1 shot ,Bacardi Limon,,,,,,,,
Brigadier,https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg,Cocktail,Alcoholic,Coupe Glass,4 oz,Hot Chocolate,1 oz,Green Chartreuse,1 oz,Cherry Heering,,,,,,
Broadside,https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,Cocktail,Alcoholic,Highball glass,1 shot,151 proof rum,1/2 shot,Scotch,3 drops,Bitters,1 Fresh,Wormwood,cubes,Ice,,
Blackthorn,https://www.thecocktaildb.com/images/media/drink/xvswvy1441209430.jpg,Ordinary Drink,Alcoholic,Cocktail glass,1 oz ,Sweet Vermouth,1 1/2 oz ,Sloe gin,1 twist of ,Lemon peel,,,,,,
Bob Marley,https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg,Shot,Alcoholic,Shot glass,1/2 oz ,Midori melon liqueur,1/2 oz ,Jägermeister,1/2 oz ,Goldschlager,,,,,,
Bubble Gum,https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg,Shot,Alcoholic,Shot glass,1/4 ,Vodka,1/4 ,Banana liqueur,1/4 ,Orange juice,1/4 ,Peach schnapps,,,,
Bible Belt,https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg,Other/Unknown,Alcoholic,Highball glass,2 oz ,Southern Comfort,1/2 oz ,Triple sec,2 wedges ,Lime,2 oz ,Sour mix,,,,
Brain Fart,https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg,Punch / Party Drink,Alcoholic,Punch bowl,1 fifth ,Everclear,1 fifth Smirnoff red label ,Vodka,2 L ,Mountain Dew,2 L ,Surge,1 small bottle ,Lemon juice,1 pint ,Rum
Bloody Mary,https://www.thecocktaildb.com/images/media/drink/t6caa21582485702.jpg,Ordinary Drink,Alcoholic,Old-fashioned glass,1 1/2 oz ,Vodka,3 oz ,Tomato juice,1 dash ,Lemon juice,1/2 tsp ,Worcestershire sauce,2-3 drops ,Tabasco sauce,1 wedge ,Lime
Blue Lagoon,https://www.thecocktaildb.com/images/media/drink/5wm4zo1582579154.jpg,Ordinary Drink,Alcoholic,Highball glass,1 oz ,Vodka,1 oz ,Blue Curacao,,Lemonade,,Cherry,,,,
Boston Sour,https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg,Ordinary Drink,Alcoholic,Whiskey sour glass,2 oz ,Blended whiskey,Juice of 1/2 ,Lemon,1 tsp ,Powdered sugar,1 ,Egg white,1 slice ,Lemon,1 ,Cherry
Brandy Flip,https://www.thecocktaildb.com/images/media/drink/6ty09d1504366461.jpg,Ordinary Drink,Alcoholic,Whiskey sour glass,2 oz ,Brandy,1 whole ,Egg,1 tsp superfine ,Sugar,1/2 oz ,Light cream,1/8 tsp grated ,Nutmeg,,
