Bebida,Ingrediente1,Ingrediente2,Ingrediente3,Ingrediente4,Ingrediente5,Ingrediente6,Ingrediente7,Ingrediente8,Medida1,Medida2,Medida3,Medida4,Medida5,Medida6,Medida7,Medida8,linkImagen
Adam Sunrise,Vodka,Lemonade,Water,Sugar,,,,,1/2,1/2 can,1/2,10 tsp,,,,,https://www.thecocktaildb.com/images/media/drink/vtuyvu1472812112.jpg
Addington,Sweet Vermouth,Dry Vermouth,Top up with Soda Water,,,,,,2 shots,1 shot,,,,,,,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg
Addison,Gin,Vermouth,,,,,,,1 1/2 shot,1 1/2 shot,,,,,,,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg
Addison Special,Vodka,Grenadine,Orange juice,,,,,,1 shot,1 tblsp,Fill with,,,,,,https://www.thecocktaildb.com/images/media/drink/4vo5651493068493.jpg
Adios Amigos Cocktail,Rum,Dry Vermouth,Cognac,Gin,1/4 shot Fresh Lime Juice,1/4 shot Sugar Syrup,Water,,1 shot,1/2 shot,1/2 shot,1/2 shot,,,1/2 shot,,https://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg
Adonis Cocktail,Sweet Vermouth,Sherry,Orange bitters,,,,,,3/4 oz,1 1/2 oz dry,1 dash,,,,,,https://www.thecocktaildb.com/images/media/drink/xrvruq1472812030.jpg
Affair,Strawberry schnapps,Orange juice,Cranberry juice, Club soda,,,,,2 oz,2 oz,2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg
Affinity,Scotch,Sweet Vermouth,Dry Vermouth,Orange bitters,,,,,1 1/2 oz,1 oz,1 oz,2 dashes,,,,,https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg
After Dinner Cocktail,Apricot brandy,Triple sec,Lime,Lime,,,,,1 oz,1 oz,Juice of 1,1,,,,,https://www.thecocktaildb.com/images/media/drink/vtytxq1483387578.jpg
After Five, Peppermint schnapps, Kahlua, Baileys irish cream,,,,,,,,,,,,,,https://www.thecocktaildb.com/images/media/drink/sk3lr91493068595.jpg
After sex,Vodka,Creme de Banane, Orange juice,,,,,,2 cl,1 cl,,,,,,,https://www.thecocktaildb.com/images/media/drink/xrl66i1493068702.jpg
After Supper Cocktail,Triple sec,Apricot brandy,Lemon juice,,,,,,1 oz,1 oz,1/2 tsp,,,,,,https://www.thecocktaildb.com/images/media/drink/quyxwu1483387610.jpg
Afterglow,Grenadine,Orange juice,Pineapple juice,,,,,,1 part,4 parts,4 parts,,,,,,https://www.thecocktaildb.com/images/media/drink/vuquyv1468876052.jpg
Afternoon,Kahlua,Baileys irish cream,Frangelico,Coffee, Cream,,,,1 cl,1 cl,1 1/2,4 cl hot,,,,,https://www.thecocktaildb.com/images/media/drink/vyrurp1472667777.jpg
Alabama Slammer,Southern Comfort,Amaretto,Sloe gin,Lemon juice,,,,,1 oz,1 oz,1/2 oz,1 dash,,,,,https://www.thecocktaildb.com/images/media/drink/qtwxwr1483387647.jpg
Alaska Cocktail,Orange bitters,Gin,Yellow Chartreuse,Lemon peel,,,,,2 dashes,1 1/2 oz,3/4 oz,Twist of,,,,,https://www.thecocktaildb.com/images/media/drink/wsyryt1483387720.jpg
Alexander,Gin,Creme de Cacao,Light cream, Nutmeg,,,,,1/2 oz,1/2 oz white,2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/urystu1478253039.jpg
Alfie Cocktail,Lemon vodka,Triple sec,Pineapple juice,,,,,,1 1/2 oz,1 dash,1 tblsp,,,,,,https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg
Algonquin,Blended whiskey,Dry Vermouth,Pineapple juice,,,,,,1 1/2 oz,1 oz,1 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/uwryxx1483387873.jpg
Alice Cocktail,Grenadine,Orange juice,Pineapple juice,Cream,,,,,1 cl,1 cl,2 cl,4 cl,,,,,https://www.thecocktaildb.com/images/media/drink/qyqtpv1468876144.jpg
Alice in Wonderland,Amaretto,Grand Marnier,Southern Comfort,,,,,,1 shot,1 shot,1 shot,,,,,,https://www.thecocktaildb.com/images/media/drink/g12lj41493069391.jpg
Allegheny,Dry Vermouth,Bourbon,Blackberry brandy,Lemon juice,Lemon peel,,,,1 oz,1 oz,1 1/2 tsp,1 1/2 tsp,1 twist of,,,,https://www.thecocktaildb.com/images/media/drink/uwvyts1483387934.jpg
Allies Cocktail,Dry Vermouth,Gin,Kummel,,,,,,1 oz,1 oz,1/2 tsp,,,,,,https://www.thecocktaildb.com/images/media/drink/qvprvp1483388104.jpg
Almeria,Dark rum,Kahlua,Egg white,,,,,,2 oz,1 oz,1,,,,,,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
Almond Chocolate Coffee,Amaretto,Dark Creme de Cacao,Coffee,,,,,,3/4 oz,1/2 oz,8 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/jls02c1493069441.jpg
Almond Joy,Amaretto,Creme de Cacao,Light cream,,,,,,1/2 oz,1/2 oz white,2 oz,,,,,,https://www.thecocktaildb.com/images/media/drink/xutuqs1483388296.jpg
